State,Year,Literacy_Rate,Employment_Rate,Unemployment_Rate,Average_Income,PM2_5_Level,Green_Cover_Percentage,Total_Crime_Cases,Health_Spending_Crore,Education_Spending_Crore
Maharashtra,2010,69.77024109059869,81.41690606888096,17.66,19408,119.1085727527123,10.41,150769,69735,77955
Maharashtra,2011,70.77363701555365,79.5452445699038,19.99,20603,110.6577139564264,22.35,235305,38693,86932
Maharashtra,2012,71.50333734479457,83.62173537245496,15.63,21265,94.56017847989419,17.33,215725,45773,82435
Maharashtra,2013,72.52464779522283,88.56498803279655,11.11,21006,88.09599358863007,22.15,377348,20627,23792
Maharashtra,2014,74.76107949551876,92.08828101510481,7.87,22261,102.9708417288158,18.8,274358,58555,32159
Maharashtra,2015,72.30435494379482,92.91517739015073,6.36,22814,97.88489547562568,23.25,169457,76557,67995
Maharashtra,2016,73.05644095984157,94.07907009343735,5.46,25664,112.8003635825733,11.77,241387,11016,70591
Maharashtra,2017,77.07335684321666,90.70802131395925,8.79,25553,105.08164730689336,21.74,344776,49099,23571
Maharashtra,2018,75.51325448325417,84.54363366469947,15.56,24334,102.0880224684052,17.9,283767,58190,20258
Maharashtra,2019,74.71153216450638,90.70467216851813,9.33,28886,99.62891894515789,22.12,284633,36854,79505
Maharashtra,2020,75.35433665443645,92.58913122333138,7.05,28771,94.78164375971767,16.22,360647,73335,25965
Maharashtra,2021,81.50333059383632,87.16841043606969,12.92,25829,98.98981911933913,24.26,334064,16910,15206
Maharashtra,2022,78.96437241146741,80.10665995770637,19.62,26314,107.11720857747899,16.29,260687,28141,86910
Maharashtra,2023,80.23922593130365,91.19417244483697,8.67,27990,95.42232598262437,11.54,225450,32299,58585
Maharashtra,2024,82.57554953400995,85.26672604514927,15.57,27442,91.26433637212955,18.33,324013,31834,33047
Tamil Nadu,2010,80.21321827407807,84.09023052589518,16.58,18753,69.00391553652382,26.36,205016,19474,73053
Tamil Nadu,2011,80.36007192951004,85.61020938153621,13.74,19408,72.80629632728524,28.86,243557,71087,83840
Tamil Nadu,2012,82.1231267830136,81.38486620893958,19.03,20108,60.01955497150738,14.94,215318,33664,82172
Tamil Nadu,2013,82.60274209057054,80.95569827724579,19.45,21533,67.42771260349394,15.57,157392,65680,61717
Tamil Nadu,2014,83.67162736165274,86.7658683556237,12.66,23512,70.08968959215713,14.84,220467,62662,27688
Tamil Nadu,2015,85.07611088252351,85.92938882187742,14.48,23466,73.88419842422743,11.81,306256,52107,66663
Tamil Nadu,2016,83.46957516383196,89.62896595920627,11.14,24598,94.81560212723284,10.33,184754,21411,17911
Tamil Nadu,2017,84.28469184185538,93.5487275968778,5.89,24201,87.77841536578791,23.51,354728,49384,62254
Tamil Nadu,2018,88.00872663988173,89.98124858949286,9.56,24032,70.38517568421952,13.5,371807,26371,17049
Tamil Nadu,2019,90.91235223380652,94.98883073342175,5.52,26770,66.2929521186248,15.58,323714,25151,66407
Tamil Nadu,2020,91.60951076288517,93.44574765541283,6.69,29212,73.79446570699513,22.84,293946,42711,20539
Tamil Nadu,2021,92.90394825485826,89.37573813761976,10.9,24323,74.92769401366846,10.1,328047,31357,17869
Tamil Nadu,2022,90.04330456157818,95.09029460820025,5.08,26230,66.7649588826635,10.36,241412,13987,73871
Tamil Nadu,2023,92.37678319272473,92.93534796046407,7.26,31237,66.42878371409347,17.35,169830,27429,21893
Tamil Nadu,2024,93.06704499644916,94.01676393584447,5.32,30523,73.54175445618252,28.12,180746,59377,63404
Bihar,2010,73.10681587492988,91.36365885331072,9.16,14922,90.46650994438279,13.54,274123,28589,58484
Bihar,2011,72.74674235029447,93.83479499621389,6.75,15946,83.77270423360586,29.06,153420,10301,60236
Bihar,2012,74.43648483707344,94.58530462796598,5.3,16028,73.9407204819793,15.37,366386,36641,49584
Bihar,2013,74.53993959253042,92.63826152509307,7.34,18375,73.67529792269153,11.41,392289,14014,26093
Bihar,2014,76.16752331446241,83.04444624872214,16.19,17749,92.5120214390515,12.73,359141,64748,20801
Bihar,2015,77.13840654760811,92.40712737800892,7.85,20457,78.9708391637666,28.26,368617,12368,21655
Bihar,2016,76.95053907636421,81.04602872085708,19.24,21646,88.04091438884441,18.77,274862,62921,64726
Bihar,2017,81.06860593753225,92.54890449150034,7.42,22638,81.76745087220056,15.01,220313,63006,30338
Bihar,2018,78.06276201461718,88.39217667993525,12.17,23234,86.43189263510214,11.71,347484,68335,71179
Bihar,2019,79.6271248694635,90.32296138451002,9.51,20294,72.2867631592331,12.65,383841,27019,88847
Bihar,2020,79.1824002366534,86.8623029629468,13.42,20472,91.54459351518716,18.18,216617,26896,61175
Bihar,2021,83.23057853472031,90.21016783065394,9.28,25506,97.7140940781635,15.6,284415,23500,68222
Bihar,2022,83.36599304979188,86.52822392456288,13.46,27055,88.00251190224218,13.17,353861,71389,24435
Bihar,2023,78.38059702168997,80.52282287104858,19.39,29207,80.83253996293443,24.07,376507,53919,50247
Bihar,2024,87.69000722502666,85.30265396102047,14.81,26476,80.4602579838455,28.98,247379,78385,55158
Karnataka,2010,60.1289728878237,90.07523653558333,9.74,19201,87.62493601627034,28.88,312049,59115,75890
Karnataka,2011,60.92938359143464,90.09426370216416,9.84,20102,91.08851470211847,26.41,253691,48304,84449
Karnataka,2012,62.02417822364968,84.52302358572075,15.89,20501,78.36166780756105,17.55,247532,37350,40351
Karnataka,2013,62.811900356885594,90.0016178813809,9.78,21416,83.74168201834914,23.86,188513,36092,26338
Karnataka,2014,64.55796068463164,90.22671144963066,8.97,23450,65.59229375373127,15.64,194425,48756,33888
Karnataka,2015,64.22984780066456,89.51479195210271,11.36,24262,82.53745935617837,21.61,369798,17357,47479
Karnataka,2016,67.42622866414007,87.12072703934525,13.57,25354,83.29066652695235,25.09,302424,65069,29397
Karnataka,2017,66.64510058897932,85.1938686524472,14.16,24159,87.19907713983677,23.54,313379,64098,75921
Karnataka,2018,67.87041206811031,87.0748539026226,13.27,24843,76.65908689759169,16.57,292202,70566,81703
Karnataka,2019,70.78331849802383,81.11851261472434,18.63,26816,84.59333776492659,18.83,188102,16801,87267
Karnataka,2020,69.66495761683693,92.68174360766552,7.45,30269,81.04042119605222,26.77,171677,56732,65343
Karnataka,2021,65.67723741453763,92.47711206450674,7.67,30139,98.23288970884964,28.94,318152,11324,50909
Karnataka,2022,71.98404596505938,87.11279609984184,12.77,28376,81.58455874343173,24.1,175289,65129,30485
Karnataka,2023,71.34720699182226,79.7781171672068,19.83,29966,87.46002009437656,24.92,389564,71629,81040
Karnataka,2024,71.18166972466135,83.94472947384187,15.71,34713,72.96290779134064,14.47,264821,77641,51395
Gujarat,2010,84.32938197107184,93.41190404225938,6.13,14672,82.5658829648734,11.51,221726,27640,67528
Gujarat,2011,85.60602769825715,86.40408889588477,13.18,15611,59.41715456989613,21.69,300159,51430,39504
Gujarat,2012,86.10423028790478,94.34641085497532,5.62,15753,70.38229020014137,16.71,159337,56427,76529
Gujarat,2013,87.48188230203664,83.08212000544462,16.56,16730,71.95152162506355,17.21,154835,30159,62605
Gujarat,2014,86.49892441080372,84.54102603285631,15.8,17823,55.698055092338144,12.66,272402,55445,20713
Gujarat,2015,88.96864791579407,89.46362307766796,11.28,20389,77.5458442578341,11.65,208141,33793,71570
Gujarat,2016,87.81136267318885,80.10997337931498,19.6,19253,75.26116738015924,17.62,170309,16970,87474
Gujarat,2017,90.9683766095769,81.0697022502677,19.05,18352,60.89149423393475,12.68,150404,50943,62926
Gujarat,2018,93.57488364011611,92.43984255515146,7.81,24270,75.99050132658986,25.38,160916,14809,47201
Gujarat,2019,91.55385428000865,83.85600113545964,16.38,20463,73.61924850923214,15.03,203932,27100,72091
Gujarat,2020,91.37136137993377,90.11797763395805,9.92,23998,62.11510478327442,23.43,339089,71877,58125
Gujarat,2021,97.01457626506621,84.99134120917986,15.38,26458,75.22132205546734,29.36,275917,34285,52626
Gujarat,2022,93.93826058485074,82.25112447634034,17.99,20913,79.18792499456067,24.08,203682,69494,80215
Gujarat,2023,91.43450187879425,84.64116878883635,14.74,26540,88.57651902790668,17.84,304458,71886,68413
Gujarat,2024,95.8251321528564,94.09457803219463,6.34,24592,89.82532047766573,25.93,395897,65479,34963
Uttar Pradesh,2010,62.380058607724735,83.58364541863337,16.86,8550,96.81934688323358,16.83,287326,27144,39214
Uttar Pradesh,2011,61.911803848970365,81.89835694791071,17.72,9147,83.37332997342958,16.91,364879,43434,84724
Uttar Pradesh,2012,64.9204702164554,89.0489689177238,10.97,9863,92.66105212371154,26.44,368577,46668,38061
Uttar Pradesh,2013,63.31992102467783,82.15166449640553,18.19,11017,93.96582533138192,20.07,262428,33624,38321
Uttar Pradesh,2014,65.17461244894098,89.31534309021032,10.58,10779,85.35193338276764,27.47,300334,62796,19432
Uttar Pradesh,2015,65.1840522074554,92.62648902388301,7.91,13669,86.95841405156204,17.41,261317,18717,43699
Uttar Pradesh,2016,65.86947417126255,88.12193624730968,13.06,14689,84.39319077863243,10.73,392999,15126,20122
Uttar Pradesh,2017,69.96032177449437,87.28700698368252,12.32,14657,93.22268484141067,20.65,316926,56271,88688
Uttar Pradesh,2018,69.4636880103488,82.03947769842311,17.27,15708,84.1600930982432,26.81,287301,66793,62915
Uttar Pradesh,2019,67.40690828339261,85.29190929780243,14.86,16036,107.95700684568969,19.59,287443,36069,27910
Uttar Pradesh,2020,70.92522963452724,86.83078125256307,13.53,14443,80.95473218858227,15.68,344053,64553,63447
Uttar Pradesh,2021,71.32384684037545,85.22456681307762,14.66,21646,80.98872296791778,12.04,266421,11605,86158
Uttar Pradesh,2022,70.53806033668552,93.48663033166052,7.24,15288,103.43191709817542,26.12,366727,37446,28046
Uttar Pradesh,2023,67.83804858825714,79.60069710013838,19.73,21392,103.13430961538594,10.11,281189,23234,68441
Uttar Pradesh,2024,74.49020732807215,88.9164593115158,11.43,18294,91.76103350327017,25.39,287541,40105,57101
Rajasthan,2010,78.16290007932541,90.30706958962055,9.39,10394,105.75768855813736,28.64,255292,57362,35128
Rajasthan,2011,78.74272878089248,87.66968895310364,13.19,11278,97.70184369046487,20.98,189809,15287,49387
Rajasthan,2012,78.64651192843539,91.21625767658406,9.78,12458,103.75617020353626,18.24,374861,52078,27219
Rajasthan,2013,81.27614432192901,81.47667170610832,18.14,13428,122.5095179002812,28.77,234555,15415,51159
Rajasthan,2014,81.37819873045471,92.35522143204571,7.37,12785,96.31864603945083,13.27,236740,25524,34282
Rajasthan,2015,82.02081765540372,88.27979394348989,12.15,14149,101.17370389043305,27.54,365128,53303,74207
Rajasthan,2016,83.37169915088359,85.45643467510524,14.35,15337,113.70944746913763,20.05,300168,77728,49016
Rajasthan,2017,83.62868114528783,87.95729439103388,12.02,14220,91.45539910549968,14.58,161302,77506,56157
Rajasthan,2018,86.92951791308518,89.43269421027121,10.58,16269,110.69033738447486,22.4,209379,35053,24446
Rajasthan,2019,85.89344291949726,94.01016342190117,5.03,19634,95.05615508994426,24.14,182154,12336,82779
Rajasthan,2020,86.86419140397378,91.43308112695289,8.56,21531,106.8424508860982,12.21,221907,74435,55631
