Year,State,Enrollment,Graduation_Rate,Education_Budget
2024,Gujarat,1712630,77,346315526
2015,Delhi,1323016,89,526460557
2023,Maharashtra,1598178,86,217969855
2021,Karnataka,1994787,82,517897221
2019,Karnataka,1692746,77,629692923
2018,Tamil Nadu,1055099,65,751308325
2015,Karnataka,1431307,86,587264632
2019,Delhi,1140759,73,512157144
2021,Delhi,1333343,85,311537424
2018,Tamil Nadu,1441166,74,326641722
2019,Maharashtra,1617562,86,260010734
2018,Gujarat,856557,79,240786212
2019,Delhi,1316455,85,779251379
2015,Karnataka,1019360,71,497749321
2021,Karnataka,815880,67,602304613
2019,Delhi,1353782,65,487384949
2015,Tamil Nadu,1914437,77,595842861
2016,Tamil Nadu,1746737,65,566689800
2016,Gujarat,1220791,80,586201207
2023,Delhi,1134242,80,577687723
2020,Gujarat,1960325,80,750580539
2022,Karnataka,879891,71,515892488
2023,Delhi,1266059,70,761717491
2024,Karnataka,1026459,69,208750809
2020,Gujarat,845467,69,449937346
2019,Gujarat,1764956,89,363907968
2018,Tamil Nadu,1775969,79,546309801
2020,Tamil Nadu,1368040,85,259165204
2015,Maharashtra,1461047,73,719367177
2022,Delhi,1448739,75,501408955
2016,Karnataka,1498356,79,551865847
2024,Gujarat,1116349,73,478576454
2017,Delhi,1445142,78,528864032
2017,Tamil Nadu,839444,75,532210662
2017,Gujarat,1971425,81,513707835
2023,Karnataka,1640789,78,306271087
2018,Maharashtra,1267638,76,525327222
2015,Karnataka,1540990,78,665646240
2022,Delhi,1211633,70,367680039
2023,Gujarat,1944211,84,714369347
2023,Tamil Nadu,1479312,85,553923206
2023,Maharashtra,1457436,78,294323411
2021,Karnataka,1703151,79,271035478
2019,Gujarat,1117394,81,500947492
2021,Maharashtra,1052736,86,795357100
2016,Tamil Nadu,1949677,65,286523816
2016,Maharashtra,1269774,69,537878952
2022,Tamil Nadu,1285816,71,629820392
2019,Delhi,1448160,89,722726231
2023,Tamil Nadu,1908446,74,454051824
2021,Tamil Nadu,837178,80,445930011
2017,Delhi,1132394,86,748828744
2022,Maharashtra,897526,86,413771637
2020,Delhi,1178185,87,468163179
2022,Tamil Nadu,1352008,69,705886501
2021,Maharashtra,1483287,85,685987653
2023,Delhi,1381506,74,360201863
2023,Tamil Nadu,1158100,78,563877758
2016,Maharashtra,889269,65,694106929
2023,Maharashtra,939115,89,753589394
2024,Gujarat,1146432,75,741897985
2019,Karnataka,1467722,90,347863170
2022,Maharashtra,1241158,71,381758362
2017,Maharashtra,1940868,74,655271299
2024,Gujarat,1118464,67,231106023
2018,Gujarat,858509,83,591924705
2022,Gujarat,1235045,65,787368368
2018,Tamil Nadu,1960116,65,321387782
2017,Gujarat,1034851,88,797431763
2017,Gujarat,1027928,72,501613164
2021,Delhi,1630258,89,796566878
2021,Maharashtra,1683735,75,541066529
2022,Gujarat,1131786,89,423298118
2020,Gujarat,1705879,84,444325058
2019,Karnataka,944066,90,578419367
2022,Delhi,1713859,88,580461071
2023,Delhi,1764009,68,318566711
2019,Gujarat,1179434,70,594719604
2017,Maharashtra,1650517,74,438818108
2018,Tamil Nadu,1167074,89,749011738
2017,Delhi,1196852,86,555966841
2016,Maharashtra,921231,66,686425276
2020,Maharashtra,1022988,81,322961794
2024,Karnataka,1500900,84,629238701
2022,Karnataka,1682986,76,222232572
2024,Karnataka,1247527,67,662720363
2021,Maharashtra,1919877,86,469288139
2018,Gujarat,1595690,69,541470444
2024,Gujarat,1687372,76,502709617
2023,Tamil Nadu,830520,84,350858249
2016,Karnataka,1054420,76,660925427
2016,Karnataka,1886569,68,765013842
2018,Karnataka,1503474,80,679869243
2018,Gujarat,842538,73,356387689
2016,Maharashtra,1489383,66,658249548
2024,Karnataka,882203,78,564856967
2021,Tamil Nadu,929155,80,216916095
2024,Gujarat,807202,70,251776395
2017,Gujarat,1222200,80,754053999
2019,Maharashtra,1625912,81,249547167
2023,Delhi,1068613,88,539909105
2020,Delhi,807548,85,274195685
2018,Maharashtra,1979353,65,323689466
2016,Delhi,1589461,69,380206184
2024,Karnataka,993103,82,659712474
2024,Karnataka,1997955,68,654365667
2020,Gujarat,1120338,70,489580691
2017,Maharashtra,1667937,88,374970158
2024,Karnataka,1212791,80,332763112
2022,Karnataka,1379238,68,439037666
2021,Karnataka,1105718,68,604783466
2017,Gujarat,1289974,69,330022763
2023,Maharashtra,1097839,77,405869929
2019,Delhi,962712,76,756219612
2017,Karnataka,1612126,81,712626213
2020,Tamil Nadu,1037432,70,684054068
2021,Gujarat,1881210,81,429763794
2016,Gujarat,1153640,76,318061231
2019,Gujarat,1353261,79,215067408
2018,Karnataka,1738745,73,779915407
2021,Delhi,1194511,82,229784963
2017,Karnataka,915159,87,278156167
2020,Maharashtra,1958892,83,504277815
2017,Karnataka,1242047,81,203929377
2018,Delhi,967769,82,259304411
2024,Maharashtra,1100408,83,374493999
2024,Maharashtra,1867014,68,546721329
2020,Karnataka,1345586,73,216311251
2016,Gujarat,881983,90,238693817
2022,Delhi,1088474,71,668312078
2015,Maharashtra,1482782,78,275594535
2024,Tamil Nadu,1401473,87,626984851
2019,Gujarat,1392831,77,508383184
2019,Gujarat,1916714,67,594774214
2016,Maharashtra,1331869,72,312347656
2021,Karnataka,1321342,69,414958946
2018,Gujarat,1080177,87,327745156
2015,Gujarat,1769893,74,227645692
2017,Tamil Nadu,892202,76,272290961
2020,Gujarat,1838827,85,393585595
2018,Gujarat,1635518,86,325027862
2019,Karnataka,1779472,75,514001562
2020,Tamil Nadu,1556805,69,598638382
2023,Gujarat,1759152,83,398132839
2018,Karnataka,1091883,77,485331591
2017,Gujarat,1635722,67,470773933
2015,Maharashtra,1822695,75,746853110
2021,Delhi,1633213,77,668195889
2022,Maharashtra,1892667,70,628407578
2020,Tamil Nadu,1214912,66,553338669
2019,Karnataka,1189465,74,253996626
2015,Delhi,818692,82,254233010
2019,Gujarat,1587683,75,564524887
2021,Maharashtra,1965165,79,681573790
2017,Maharashtra,1208273,84,649116462
2020,Maharashtra,1041375,78,767853317
2020,Tamil Nadu,1252615,73,471609298
2019,Maharashtra,861815,73,214794543
2015,Maharashtra,923344,70,655402520
2023,Gujarat,938112,75,536275896
2016,Maharashtra,992564,73,644523538
2015,Delhi,1580388,67,370805646
2021,Tamil Nadu,1762826,65,291526802
2020,Karnataka,1391695,90,432363779
2024,Maharashtra,1886498,69,647650597
2024,Delhi,964390,86,779053311
2017,Karnataka,1614962,89,737932659
2024,Maharashtra,1229435,81,395166384
2016,Maharashtra,1894129,65,594635901
2024,Karnataka,1698648,84,220869728
2020,Tamil Nadu,907590,78,785823870
2016,Tamil Nadu,1836927,82,738190282
2017,Delhi,1958349,80,562267677
2016,Gujarat,986791,90,649450488
2023,Tamil Nadu,957105,81,243751543
2024,Tamil Nadu,1448807,72,305609232
2019,Maharashtra,1329684,84,212492001
2023,Maharashtra,1371154,81,201603212
2017,Maharashtra,1262056,73,420391112
2019,Maharashtra,892282,90,662551713
2023,Karnataka,1830387,79,504898028
2017,Tamil Nadu,832364,86,794840727
2018,Delhi,1406848,83,608032328
2021,Maharashtra,1642154,71,221130366
2022,Maharashtra,1780806,67,415817553
2018,Tamil Nadu,1435053,89,700752901
2021,Tamil Nadu,1012427,71,248402087
2015,Gujarat,1294626,88,644609615
2023,Gujarat,1263487,79,308838661
2019,Delhi,1399178,71,246289821
2020,Karnataka,1666550,75,596667649
2024,Gujarat,1515250,76,599880788
2015,Delhi,1069967,71,511695498
2021,Karnataka,1369900,77,701554553
2017,Karnataka,1641856,90,636922164
2021,Tamil Nadu,1690429,82,741755783
2020,Tamil Nadu,1481003,72,680817359
2019,Tamil Nadu,1865875,65,330824871
2018,Karnataka,1989227,90,408483833
2017,Tamil Nadu,1778062,67,348990513
2023,Tamil Nadu,1503729,70,449985983
2017,Karnataka,1805073,82,675271800
2022,Karnataka,1211025,85,416955637
2023,Gujarat,1655053,67,720147102
2016,Maharashtra,1947091,65,740956673
2018,Tamil Nadu,1253329,84,442653024
2018,Maharashtra,881657,74,289066255
2017,Maharashtra,1653441,81,349966005
2017,Gujarat,802321,71,694862950
2015,Karnataka,1887277,68,637860829
2016,Maharashtra,1760713,76,379682045
2021,Tamil Nadu,1883171,87,778554698
2018,Tamil Nadu,1187413,84,732492997
2021,Delhi,1307651,85,350392312
2020,Delhi,1825553,87,249369722
2017,Delhi,1785953,70,206694957
2021,Tamil Nadu,1399032,65,460445914
2019,Delhi,856690,80,260998544
2023,Gujarat,1061614,68,432379162
2019,Maharashtra,1356203,85,335168266
2023,Karnataka,1032886,85,443555699
2018,Gujarat,1223612,81,252119667
2015,Delhi,1756527,80,664221039
2021,Gujarat,1843143,86,749808111
