Date,State,Tax_Collection,Government_Spending,Budget_Deficit
2020-01-01,Maharashtra,36985200,57226216,11612440
2020-01-02,Karnataka,34965869,68160561,14708432
2020-01-03,Delhi,63659261,61075006,2432131
2020-01-04,Gujarat,33660473,82583870,13738428
2020-01-05,Tamil Nadu,47771041,45591318,14882752
2020-01-06,Gujarat,67340647,88404938,4896733
2020-01-07,Karnataka,64367225,61044346,11291505
2020-01-08,Delhi,55300057,64797460,8300731
2020-01-09,Maharashtra,31086837,37226722,3224904
2020-01-10,Gujarat,51921108,59748059,12959899
2020-01-11,Maharashtra,56875239,58998346,11164944
2020-01-12,Maharashtra,77649297,61774120,8363009
2020-01-13,Delhi,47938574,42577266,4211698
2020-01-14,Maharashtra,50923953,64335715,1455454
2020-01-15,Delhi,61380242,82727988,3872913
2020-01-16,Gujarat,51219930,53698681,1553417
2020-01-17,Karnataka,38831764,40287055,10179369
2020-01-18,Maharashtra,69243671,35836377,3705319
2020-01-19,Maharashtra,70320157,81953540,8612744
2020-01-20,Gujarat,49422675,53930986,10856290
2020-01-21,Tamil Nadu,51991069,75035704,13240920
2020-01-22,Gujarat,42808283,59089672,11785240
2020-01-23,Gujarat,61179917,89859570,3788350
2020-01-24,Karnataka,48192741,45525726,5553784
2020-01-25,Tamil Nadu,46458315,70710872,14700263
2020-01-26,Karnataka,47240236,44312482,5474880
2020-01-27,Gujarat,32347713,38126650,10600687
2020-01-28,Delhi,68010810,83032027,2327479
2020-01-29,Karnataka,36084226,54683674,2374842
2020-01-30,Delhi,31535802,71876211,12866175
2020-01-31,Delhi,74236462,76775566,5003123
2020-02-01,Maharashtra,36619914,71454523,14496237
2020-02-02,Maharashtra,76401432,64274846,11784440
2020-02-03,Tamil Nadu,55009004,61531961,7953650
2020-02-04,Gujarat,48675294,67055355,9933967
2020-02-05,Delhi,57831715,63978424,2168291
2020-02-06,Maharashtra,55816785,42422728,8143912
2020-02-07,Maharashtra,51377293,72837990,11959782
2020-02-08,Gujarat,59557353,41840800,8764216
2020-02-09,Delhi,37349105,46053999,9139485
2020-02-10,Gujarat,75960475,37541716,13613336
2020-02-11,Maharashtra,48239719,70477630,13923380
2020-02-12,Maharashtra,74636591,70334370,4949287
2020-02-13,Gujarat,61491236,51095138,13816867
2020-02-14,Karnataka,59631602,70052628,11048518
2020-02-15,Maharashtra,59403931,49137846,9038731
2020-02-16,Tamil Nadu,43553868,50612502,5594105
2020-02-17,Karnataka,49066157,80724054,2069400
2020-02-18,Gujarat,49897061,39338876,1822709
2020-02-19,Gujarat,38301052,82947665,4370358
2020-02-20,Tamil Nadu,68244078,75170209,8460003
2020-02-21,Tamil Nadu,52595299,53386192,7569074
2020-02-22,Delhi,75420141,78770695,2097533
2020-02-23,Gujarat,79936522,85052000,2695095
2020-02-24,Delhi,72593923,89516808,9255768
2020-02-25,Karnataka,50153755,64512594,13826967
2020-02-26,Delhi,70018673,89466972,1342480
2020-02-27,Delhi,36181563,37838432,5830245
2020-02-28,Delhi,32577541,85500239,9317747
2020-02-29,Delhi,71567532,68164821,8197050
2020-03-01,Maharashtra,50462229,41265860,9700592
2020-03-02,Karnataka,35798689,56633539,4993293
2020-03-03,Karnataka,70467260,87369842,4620952
2020-03-04,Karnataka,42320617,57344412,8427408
2020-03-05,Maharashtra,72682236,51219498,14333909
2020-03-06,Tamil Nadu,31660955,67097951,5142632
2020-03-07,Maharashtra,78491610,59676759,4361382
2020-03-08,Gujarat,71452278,39821377,1266405
2020-03-09,Tamil Nadu,41674702,72697227,1772163
2020-03-10,Gujarat,66705953,69958946,2199242
2020-03-11,Maharashtra,37925743,65760040,11155798
2020-03-12,Delhi,33171170,56385227,8585871
2020-03-13,Delhi,59712226,54708550,6427636
2020-03-14,Maharashtra,78424132,35314989,10808414
2020-03-15,Karnataka,79044366,72569847,4951653
2020-03-16,Delhi,47360419,86069575,5682042
2020-03-17,Maharashtra,75588110,87718491,3579817
2020-03-18,Maharashtra,79284510,40145416,13565247
2020-03-19,Maharashtra,62222799,81521061,3488554
2020-03-20,Tamil Nadu,56008958,74972596,11007363
2020-03-21,Delhi,65350688,87025198,11635815
2020-03-22,Delhi,55539360,42542017,5241537
2020-03-23,Delhi,46072862,83089629,2386915
2020-03-24,Maharashtra,64093425,56954605,11637772
2020-03-25,Karnataka,34172208,62113493,12476570
2020-03-26,Maharashtra,39213481,75222098,9175068
2020-03-27,Maharashtra,70920715,74589836,14740156
2020-03-28,Tamil Nadu,63450307,36753671,1179010
2020-03-29,Tamil Nadu,52259427,75896888,8183511
2020-03-30,Maharashtra,79485879,76097145,13955136
2020-03-31,Tamil Nadu,69999132,70297802,1373546
2020-04-01,Karnataka,34834587,89000568,13427679
2020-04-02,Delhi,73453825,56520164,9482401
2020-04-03,Karnataka,52834674,86035359,2995283
2020-04-04,Tamil Nadu,73199045,71982758,1194534
2020-04-05,Tamil Nadu,59803552,81822908,10422642
2020-04-06,Maharashtra,45199488,40006575,9993694
2020-04-07,Delhi,50482677,59698772,13695339
2020-04-08,Karnataka,42058742,88809776,14597499
2020-04-09,Tamil Nadu,48744255,65995389,3054687
2020-04-10,Maharashtra,58463449,47241262,8930730
2020-04-11,Tamil Nadu,51987766,65622870,1942440
2020-04-12,Delhi,56204268,84083452,7341693
2020-04-13,Tamil Nadu,43484194,76657168,3465795
2020-04-14,Maharashtra,40799522,86179949,13537796
2020-04-15,Karnataka,58807441,83905260,3283290
2020-04-16,Gujarat,63984084,78126459,9015684
2020-04-17,Gujarat,43260873,49391439,11946632
2020-04-18,Tamil Nadu,49640188,57045294,6032109
